user_id,experiment_name,variant,assignment_ts
f7fc69de-6301-44bd-8697-ca46d064acd7,onboarding_simplification,B,2025-03-01 00:13:00
6ba761c5-ed3f-4ba7-be16-0a276cc93ccc,onboarding_simplification,B,2025-03-01 00:57:00
84c957e1-6ca0-4988-a9dc-a5d449e18a72,onboarding_simplification,A,2025-03-01 00:58:00
bcc83038-9edd-4820-a940-ec752c017c36,onboarding_simplification,B,2025-03-01 01:20:00
459fca52-4e35-4b0f-8116-5a40d5116ac9,onboarding_simplification,B,2025-03-01 01:43:00
2d9e369d-657b-4994-9517-da6abc576848,onboarding_simplification,B,2025-03-01 01:59:00
7e3d5a79-6c65-43e5-92b8-65531823a7fc,onboarding_simplification,B,2025-03-01 02:02:00
63ba2c6f-73f0-4587-894d-f0d873250e34,onboarding_simplification,A,2025-03-01 02:44:00
d1000f16-d715-4ae9-a5a8-624a6c2565d9,onboarding_simplification,B,2025-03-01 03:45:00
9f1a7beb-f4ed-45e8-a0f5-c7564edae576,onboarding_simplification,B,2025-03-01 03:50:00
df0cb7b0-56e4-43e7-87fc-57aec6bd35fa,onboarding_simplification,A,2025-03-01 04:02:00
24cd1017-d542-4b1c-ae72-a4e1f3b91871,onboarding_simplification,B,2025-03-01 04:05:00
c5bbd9f1-cfd8-4ee9-9678-01fcdc108063,onboarding_simplification,A,2025-03-01 04:33:00
e5dc287a-2a52-4167-8b75-bc970915a3e2,onboarding_simplification,B,2025-03-01 04:46:00
aeebfa59-b797-4879-b5ea-513574b50571,onboarding_simplification,B,2025-03-01 05:09:00
aafbf7ad-4835-4749-b3c4-a6a4678e5311,onboarding_simplification,A,2025-03-01 06:21:00
e7066c6e-24ac-42a8-8ff9-156833b7dbb5,onboarding_simplification,A,2025-03-01 07:31:00
13effca3-1fba-4462-b417-03be5f50ace6,onboarding_simplification,A,2025-03-01 08:07:00
7dab9f03-e99d-4721-918f-ec887b88ebb7,onboarding_simplification,A,2025-03-01 08:35:00
99af8d97-71ae-40ec-837d-b7df432abb5b,onboarding_simplification,A,2025-03-01 08:44:00
97d47471-2108-42d4-a832-abb93655d4d8,onboarding_simplification,B,2025-03-01 08:52:00
0caef372-7171-44b0-8f6d-2957262b3789,onboarding_simplification,A,2025-03-01 08:54:00
af548fce-2302-4d29-bfad-ff0c800a981c,onboarding_simplification,A,2025-03-01 08:58:00
ae007669-de5c-44dc-9416-d5f3af20a209,onboarding_simplification,B,2025-03-01 09:28:00
7bcb7f38-9c57-47d8-a4ae-5ca46de6a016,onboarding_simplification,A,2025-03-01 09:47:00
28499aa4-8faa-495d-855e-1ff6bca986cd,onboarding_simplification,B,2025-03-01 09:55:00
43cf4cfd-8aed-4835-837b-69a267073c8e,onboarding_simplification,A,2025-03-01 10:33:00
d98c4259-d0e2-435f-a563-f32bb48e536f,onboarding_simplification,A,2025-03-01 10:34:00
dd06a60c-5497-41f9-998b-73f3dc4dc9b9,onboarding_simplification,B,2025-03-01 10:49:00
415d1d6a-e10d-4730-9878-d8d80100e7f7,onboarding_simplification,B,2025-03-01 10:49:00
e1ad8ac1-a483-4a90-b0fd-0c880f2e4691,onboarding_simplification,B,2025-03-01 11:01:00
e6c21334-fe2f-4118-b29f-a586d2425e86,onboarding_simplification,B,2025-03-01 11:06:00
f59f9238-21d9-4b4e-be8f-29827efb1cb7,onboarding_simplification,A,2025-03-01 11:25:00
2d603a0b-7b39-4cec-8873-5da7733baa60,onboarding_simplification,B,2025-03-01 12:45:00
32216b16-762a-42e4-b004-786391d66742,onboarding_simplification,B,2025-03-01 13:20:00
23dcc5a3-9565-4c33-aa4b-d4c3a4c08ff1,onboarding_simplification,A,2025-03-01 14:43:00
727dd3d5-1bcf-440d-9d45-c8b9207a3a6a,onboarding_simplification,A,2025-03-01 14:44:00
b0ba1009-45e5-4b1c-87d0-310dc4961e28,onboarding_simplification,B,2025-03-01 15:19:00
c71df850-466b-44df-86a9-b3f440dcf7ba,onboarding_simplification,B,2025-03-01 15:28:00
75608e90-fb41-4784-a716-33b34fba0f9c,onboarding_simplification,B,2025-03-01 16:25:00
2507f306-aa86-477f-aba4-2dec594f7920,onboarding_simplification,A,2025-03-01 16:44:00
be04fe67-1c00-4920-ae1a-cf8097e5f6a7,onboarding_simplification,B,2025-03-01 16:45:00
b7294790-1662-4d9a-b134-674fd4b9b1c6,onboarding_simplification,B,2025-03-01 17:32:00
76ba8a47-f340-4765-b741-f4e4834a708c,onboarding_simplification,A,2025-03-01 17:45:00
d9f168cf-20ce-4222-b118-0dcfbba7e89f,onboarding_simplification,A,2025-03-01 18:09:00
10440a5e-2f29-4ad1-9c2f-990f6066a66f,onboarding_simplification,B,2025-03-01 18:44:00
f172da56-a6c0-4242-9013-1029ed1410e0,onboarding_simplification,A,2025-03-01 19:16:00
