user_id,signup_ts,country,platform,persona_segment
4e2c5d7f-e12d-4d39-9980-41d9f9029edb,2025-02-01 00:52:00,US,ios,casual
815f90b5-30c4-43e7-b5aa-6950aa441b34,2025-02-01 01:16:00,IN,ios,casual
d8b541e7-6259-4dc8-a7fc-32f407e95d0f,2025-02-01 01:18:00,IN,android,casual
6a806e4a-d29b-4d43-9140-437704b0fddb,2025-02-01 01:52:00,BR,web,casual
9cca6c6e-f403-4546-9ae1-b59c80fc2927,2025-02-01 02:03:00,US,ios,casual
0cab629e-ca73-4474-82ab-917cd2064de5,2025-02-01 02:15:00,US,ios,casual
d01aabbc-d09a-4ecd-9e12-db8e89970a02,2025-02-01 02:30:00,CA,ios,casual
a8526030-4e8f-435f-83d4-4e7b12ad0e15,2025-02-01 03:54:00,US,web,casual
3cf24de3-80aa-4882-866e-846d6e53e4d7,2025-02-01 05:09:00,CA,android,casual
8e54bc18-c9a4-44af-acf8-25fb3641d234,2025-02-01 05:28:00,GB,ios,casual
222804ce-5f2c-426d-821e-81e23a12f3f0,2025-02-01 06:10:00,US,android,bounce
2f47d648-0c95-470a-be3a-3f83dd650467,2025-02-01 06:55:00,US,ios,casual
788256cf-1516-401c-88b1-08bc86e875b9,2025-02-01 07:26:00,BR,ios,casual
244b2c27-3a79-48cb-8974-23e5eebb24e2,2025-02-01 07:29:00,US,android,power
de9d9cdb-bee7-4889-b17e-a43be8924fe7,2025-02-01 08:25:00,US,ios,casual
027ecbe0-4f37-4fe4-b8b6-6790e1906c2b,2025-02-01 08:28:00,GB,ios,casual
99d1a9f0-3cfa-4c64-b289-5b71659182b1,2025-02-01 08:34:00,CA,web,power
2cce9010-66b5-40b9-992b-f65019bdf5d9,2025-02-01 09:29:00,US,android,casual
65abc670-ca9b-45c0-8e6a-da729a64b9b9,2025-02-01 10:22:00,IN,ios,casual
0d1a73df-e757-4cf4-a5ac-5d2404318157,2025-02-01 10:55:00,US,web,casual
1a474796-f592-477b-9d1e-8df09ae93cae,2025-02-01 10:57:00,US,ios,casual
15ae50f1-1d28-4012-93d8-2c912cf8eef7,2025-02-01 11:17:00,IN,android,bounce
fd05ed4b-c7bf-42f4-8d65-19cca8f3603e,2025-02-01 12:23:00,US,android,casual
5c5d4a6b-a043-47db-8ee2-250fd7a0137c,2025-02-01 13:11:00,BR,android,power
b3bb21c2-e10f-4594-965b-fce4b29811fe,2025-02-01 13:18:00,US,ios,casual
29b60487-5a52-4c93-a226-0514f095dc55,2025-02-01 13:35:00,GB,ios,casual
90dd8bae-f202-42a5-8d3a-98e1a361f22c,2025-02-01 14:22:00,US,android,casual
06302e32-536e-4a25-bb0c-d7b68b72aebe,2025-02-01 15:22:00,DE,android,bounce
d349b89c-d01d-4c03-8ec7-493e2508a83a,2025-02-01 16:00:00,US,android,power
15f6c59f-a9c0-4b0a-8ac7-f159e4a937d3,2025-02-01 18:33:00,US,web,bounce
bf5d71b2-1fe7-405a-a134-11943b6fab03,2025-02-01 19:03:00,US,android,casual
6214fda9-b802-4f7f-8634-93241652e3ed,2025-02-01 19:03:00,GB,ios,power
724bed89-792d-4913-8f4b-5e05bcece448,2025-02-01 20:16:00,CA,android,casual
ac2373ca-9fec-4f83-a1b1-765f9bfa422c,2025-02-01 22:25:00,US,web,casual
a07ccd32-1c34-4681-8161-f2cf24903018,2025-02-01 22:32:00,US,web,casual
9bbb2950-f3ec-40ee-bac3-d351e875e718,2025-02-01 23:04:00,US,android,casual
d9b27c99-d2b0-49c9-9d94-a6de8e4f0fca,2025-02-01 23:18:00,IN,web,bounce
9881b762-ebfd-48d1-b2e9-b321ac809b1b,2025-02-01 23:32:00,US,android,casual
a1bbd250-572f-46a2-8503-30488cc04c10,2025-02-02 00:00:00,DE,android,bounce
3bc74ba4-10ad-42d6-a776-859b712d6884,2025-02-02 00:16:00,US,web,casual
c5cc4f36-62ea-4368-846a-9ded5ed0f8a0,2025-02-02 00:31:00,CA,android,casual
17ffbb5d-4738-4397-b327-f055cfeea167,2025-02-02 01:01:00,US,android,casual
1d5f7c72-d8f9-4b26-a0bf-8af8744999fb,2025-02-02 01:12:00,US,android,casual
9b2b7900-6a6e-4d60-b164-fde112d037e3,2025-02-02 01:33:00,IN,android,bounce
3724107e-faab-4e51-a131-ce893309bdfa,2025-02-02 01:52:00,IN,android,casual
65782149-673f-4c90-a3f7-36164394e91b,2025-02-02 02:08:00,US,ios,bounce
8fd81459-a99b-46c9-9974-96f7e4740009,2025-02-02 02:40:00,CA,ios,casual
9456f1b9-099a-4c32-a09b-c10e5a5a549e,2025-02-02 02:57:00,US,web,bounce
1a653614-0f7b-4ba4-9517-409c98881d7c,2025-02-02 04:22:00,US,ios,bounce
2de7fb13-1674-4fcf-b2e0-b057153dc184,2025-02-02 05:46:00,US,web,casual
8741a760-4f0a-47ef-9582-da9e6a3e2844,2025-02-02 07:04:00,IN,android,bounce
e40da672-5014-4b50-9661-ec86a0834530,2025-02-02 07:30:00,GB,android,casual
e2573094-b084-4a91-8a65-4d2cc3454283,2025-02-02 08:05:00,AU,android,casual
48ce8871-7160-4398-9aee-fad10603e835,2025-02-02 08:11:00,US,web,casual
2ea6fae2-46c2-4253-97dc-77b27025e9dc,2025-02-02 08:41:00,GB,web,casual
4a89abda-0000-475e-a69f-e65642a0a847,2025-02-02 09:00:00,AU,web,casual
484f8c28-8208-4552-ac7f-92c1463f1ea6,2025-02-02 09:28:00,BR,ios,casual
25eba067-7da2-4385-abd9-1e471b588043,2025-02-02 09:33:00,US,web,bounce
30a4a5e7-464c-412a-9311-fb742161348c,2025-02-02 09:44:00,US,android,power
40afb300-5364-406e-b344-54bd711062a8,2025-02-02 10:01:00,IN,web,casual
d85858e9-5e33-48d3-a4a7-3a516bfe491e,2025-02-02 10:21:00,DE,android,bounce
20223224-6603-493b-b678-1e257a2e5450,2025-02-02 11:48:00,US,android,bounce
c0e341ff-d486-4622-833e-b9b613571a61,2025-02-02 12:29:00,IN,android,casual
b8d4793c-919d-4f50-b640-9379a81a8447,2025-02-02 13:12:00,GB,android,bounce
e477cae3-c0de-4d25-ba78-3204ef439b14,2025-02-02 13:30:00,CA,android,casual
79c65c5e-acbb-45c0-9b0f-26ee0ba80d29,2025-02-02 13:52:00,US,android,casual
60dd3121-1ddf-4c1b-a029-a84482875415,2025-02-02 14:27:00,IN,android,power
7785521f-cfae-4892-84f4-684811664eea,2025-02-02 14:51:00,US,android,casual
0f3e23db-7f13-4dca-b2e3-5b03814f7f93,2025-02-02 15:33:00,IN,ios,casual
6dd0de21-85ae-453d-ad2b-f5ff3734aeec,2025-02-02 15:53:00,IN,android,power
09d64121-0bff-47b8-9a70-2ef822cb47a0,2025-02-02 16:12:00,GB,web,casual
8749072c-695d-4da9-b115-57e28a8cf154,2025-02-02 16:39:00,US,web,casual
0425034f-ddce-4530-bcd3-4f131c210c1b,2025-02-02 17:13:00,IN,android,power
747382be-38de-4464-9e81-fd7ef8e91ee8,2025-02-02 17:23:00,US,android,power
a2d1a061-4da3-4243-be5d-ce274a426f6f,2025-02-02 19:26:00,AU,web,casual
06099588-37bb-4a48-81ca-8831743c3eed,2025-02-02 20:12:00,US,android,casual
22e7ce05-0d50-4a13-8321-64b2c9a3724f,2025-02-02 22:05:00,US,ios,bounce
eca35748-f5ff-4545-ad31-64ec7b5eadfa,2025-02-02 22:12:00,IN,ios,casual
997b854e-1640-4d8b-90e5-dcd00b64e99e,2025-02-02 23:03:00,IN,ios,bounce
fd198109-039c-4777-a387-fffcce6d5374,2025-02-02 23:53:00,US,android,power
a21be5b9-e346-4d42-83f6-c951296c2cf4,2025-02-02 23:59:00,US,ios,casual
3b5e9185-3451-4006-9fc2-234a05dab10a,2025-02-03 00:52:00,US,android,bounce
4a7e8806-d23a-4628-9627-f9be813195df,2025-02-03 01:33:00,US,ios,bounce
4a526d8b-bc86-47de-acba-80f1045d2bca,2025-02-03 02:09:00,US,web,casual
20a3f9e2-5fbc-45d2-9020-b86091ce3c00,2025-02-03 02:23:00,GB,ios,bounce
